Data,Otwarcie,Zamknięcie,Maks.,Min.,Obrót (mln. zł),Zmiana (%)
2019-03-07,439.8,434,443.8,432,8.3,-1.36
2019-03-06,439.2,440,440.2,433.8,3.05,1.57
2019-03-05,440,433.2,444,431.2,5.59,0.74
2019-03-04,433.2,430,435.6,426.2,4.04,-0.09
2019-03-01,436.2,430.4,436.2,428,4.48,0.7
2019-02-28,426.6,427.4,439.4,426.6,14.98,-1.25
2019-02-27,438.8,432.8,441.8,432.8,5.54,-2.21
2019-02-26,438.2,442.6,445,437,4.19,0.45
2019-02-25,436.8,440.6,444.6,434.4,4.81,0.87
2019-02-22,430,436.8,440,430,13.83,1.68
2019-02-21,434.8,429.6,437.8,426.6,13.38,-0.83
2019-02-20,438.4,433.2,439,432,8.68,-0.41
2019-02-19,439.6,435,447.8,433,10.81,-1.09
2019-02-18,441.8,439.8,450,436,6.29,-0.14
2019-02-15,430,440.4,442.4,430,5.02,1.94
2019-02-14,442.2,432,442.2,430.6,5.61,-0.55
2019-02-13,439.8,434.4,440,433,6.5,-0.14
2019-02-12,432.6,435,438.4,431.4,8.48,0.79
2019-02-11,436.4,431.6,438,430.6,6.09,-1.01
2019-02-08,442.4,436,442.4,434.8,8.11,-2.02
2019-02-07,449.2,445,456.2,444.6,8.32,-1.64
2019-02-06,451,452.4,452.4,446.4,9.5,1.66
2019-02-05,444,445,451.6,442.2,3.63,0.14
2019-02-04,459,444.4,459,441.4,11.7,-1.9
2019-02-01,449,453,455,449,5.17,0.89
2019-01-31,440,449,451,440,9.5,1.72
2019-01-30,443,441.4,448.4,440.2,5.14,0.09
2019-01-29,449,441,452.8,441,10.37,-1.56
2019-01-28,447,448,451.2,441,8.39,-0.58
2019-01-25,471.4,450.6,472,449.2,29.77,-4.01
2019-01-24,459.6,469.4,469.8,458.8,11.16,2.58
2019-01-23,453,457.6,460,447.4,7.41,1.1
2019-01-22,448,452.6,455.4,446.8,9.78,0.98
2019-01-21,459,448.2,459,445.2,7.48,-1.71
2019-01-18,451,456,456,451,8.1,1.2
2019-01-17,440,450.6,453,439.2,14.22,2.41
2019-01-16,435.6,440,442,433.4,16.76,0.55
2019-01-15,436,437.6,438.4,431.8,13.9,0.78
2019-01-14,425.4,434.2,435.8,425.4,21.54,0.56
2019-01-11,431.4,431.8,433.6,427.2,6.16,0.56
2019-01-10,428.4,429.4,430,421.4,9.95,0.23
2019-01-09,422.6,428.4,431.2,422.6,9.81,0.14
2019-01-08,422.2,427.8,427.8,420.8,6.87,0.19
2019-01-07,423.8,427,429.8,420,11,1.18
2019-01-04,417.4,422,424,417.4,19.49,0.48
2019-01-03,420,420,430,416.4,22.04,-0.47
2019-01-02,415,422,422,410.2,3.88,-0.52
2018-12-31,424.2,424.2,424.2,424.2,0,0
2018-12-28,408.4,424.2,424.2,408.4,5.44,4.43
2018-12-27,421,406.2,425,406.2,8.02,-3.61
2018-12-24,421.4,421.4,421.4,421.4,0,0
2018-12-21,425,421.4,426.6,415,23.9,-0.52
2018-12-20,433.6,423.6,433.6,414.2,7.78,-3.24
2018-12-19,440,437.8,440,429.2,5.82,0.32
2018-12-18,422,436.4,438.6,422,16.47,2.25
2018-12-17,424,426.8,428.4,420.8,6.67,-0.19
2018-12-14,409,427.6,427.6,405,8.32,2.69
2018-12-13,411,416.4,416.6,403.2,5.72,1.56
2018-12-12,399.8,410,410,399,6.13,2.45
2018-12-11,400.6,400.2,410.8,400,7.44,-0.1
2018-12-10,411.8,400.6,411.8,400.4,10.85,-3.75
2018-12-07,425.4,416.2,436,412.6,13.24,-2.98
2018-12-06,431,429,444,429,9.42,-3.47
2018-12-05,425,444.4,444.4,420,11.27,4.17
2018-12-04,416.8,426.6,427.6,410.2,7.24,2.65
2018-12-03,421,415.6,421,409.2,9.03,1.76
2018-11-30,408.2,408.4,418,404.6,16.15,-3.54
2018-11-29,415,423.4,423.6,408.4,10.38,3.17
2018-11-28,399,410.4,412,396.2,8.09,3.9
2018-11-27,403,395,405.8,394.4,5.19,-1.25
2018-11-26,406,400,407.4,397.2,3.9,-0.5
2018-11-23,399,402,404.6,399,1.95,0.8
2018-11-22,399,398.8,403.8,393.4,5.11,1.42
2018-11-21,395,393.2,399,393.2,8.29,-0.46
2018-11-20,396.6,395,399,390.8,5.34,0.2
2018-11-19,396.6,394.2,399.4,391.8,5.7,-1
2018-11-16,400.2,398.2,403.6,391.8,11.4,0.05
2018-11-15,410.2,398,417.8,396.8,11,-3.86
2018-11-14,402,414,421,402,5.68,0.34
2018-11-13,412,412.6,419.8,410.4,11.56,-1.01
2018-11-12,416.8,416.8,416.8,416.8,0,0
2018-11-09,415,416.8,418.8,412.4,5.28,-0.86
2018-11-08,410,420.4,422.4,410,6.63,0.72
2018-11-07,404.2,417.4,421,404.2,7.55,2.3
2018-11-06,393,408,409,388.4,6.67,3.87
2018-11-05,380,392.8,393.6,378.8,6.09,4.03
2018-11-02,382.6,377.6,384.4,372.2,11.44,0.96
2018-10-31,395,374,395,371.2,12.57,-2.91
2018-10-30,391.2,385.2,396.8,385,3.1,-1.83
2018-10-29,388.8,392.4,397,388.8,3.31,-0.81
2018-10-25,390,395.6,395.6,386,4.46,1.59
2018-10-24,394.6,389.4,398,387.2,4.99,-1.37
2018-10-23,397,394.8,399.2,394.2,3.82,-2.23
2018-10-22,402.2,403.8,405,397,3.19,0.4
2018-10-19,399.2,402.2,405,395,3.85,0.8
2018-10-18,406,399,407,397.8,4.88,-1.68
2018-10-17,412,405.8,417.4,400.6,9.44,-2.41
2018-10-16,409.4,415.8,415.8,403.2,5.57,1.61
2018-10-15,405.4,409.2,412.2,400,3.5,0.94
2018-10-12,402.2,405.4,408.2,401.6,10.23,1.3
2018-10-11,406,400.2,406.4,396.2,9.06,-1.28
2018-10-10,419.8,405.4,419.8,405.4,5.56,-2.41
2018-10-09,420.6,415.4,424.4,415.2,4.82,-1.24
2018-10-08,426.6,420.6,429.8,419.8,3.43,-1.54
2018-10-05,435.8,427.2,439.2,427.2,8.24,-1.93
2018-10-04,445.2,435.6,445.2,435.6,7.66,-2.16
2018-10-03,450,445.2,451.8,441.2,6.14,0
2018-10-02,438.2,445.2,445.2,436.4,6.25,-0.45
2018-10-01,446,447.2,454.2,440.2,3.89,-0.09
2018-09-28,455.4,447.6,455.4,440.4,15.63,-2.06
2018-09-27,446.6,457,457,439.4,12.76,1.83
2018-09-26,445,448.8,448.8,441.4,9.41,0.81
2018-09-25,430,445.2,445.6,427.4,11.76,4.12
2018-09-24,416.4,427.6,429.4,416,8.32,1.76
2018-09-21,414.2,420.2,431,405,80.09,1.94
2018-09-20,403.4,412.2,412.2,399.8,9.16,3.83
2018-09-19,399,397,407.8,386.2,8.59,-0.5
2018-09-18,397.6,399,409.6,394,5.68,-0.65
2018-09-17,406,401.6,407.2,397.2,6.83,-1.13
2018-09-14,411.6,406.2,411.6,399,3.41,0.59
2018-09-13,395,403.8,409.2,395,7.04,1.41
2018-09-12,393.6,398.2,404,390.2,11.01,0.61
2018-09-11,409,395.8,409,394.4,5.49,-2.27
2018-09-10,397,405,405,388.2,3.77,2.9
2018-09-07,417.8,393.6,417.8,389.6,5.93,-5.84
2018-09-06,409.6,418,418,409.4,6.88,2.05
2018-09-05,410.8,409.6,417.8,405.8,5.89,-1.3
2018-09-04,411.6,415,418,410.8,5.91,-0.1
2018-09-03,409,415.4,418,409,3.87,1.42
2018-08-31,414,409.6,418.6,409.6,6.25,-0.68
2018-08-30,416.6,412.4,416.8,409.4,5.09,-1.06
2018-08-29,411.8,416.8,416.8,408.6,8.77,0.97
2018-08-28,410,412.8,420,406.8,12.54,0
2018-08-27,404,412.8,413.4,403,6.12,2.79
2018-08-24,402.4,401.6,402.4,396,4.38,-0.45
2018-08-23,392,403.4,403.4,391,5.67,2.7
2018-08-22,388.2,392.8,401.6,388.2,5.9,1.18
2018-08-21,386,388.2,394.8,384.2,5.12,0.83
2018-08-20,389,385,389.6,375,6.28,-0.93
2018-08-17,397.2,388.6,399.4,388.6,4.8,-2.61
2018-08-16,395.8,399,401.8,392.4,3.94,0.5
2018-08-14,401,397,401.8,395.6,5.78,-1.19
2018-08-13,394.6,401.8,401.8,390,8.74,1.88
2018-08-10,401.8,394.4,405,394.4,6.86,-2.67
2018-08-09,408.2,405.2,408.2,398.6,8.12,-0.1
2018-08-08,419.6,405.6,421.2,404.2,7.01,-3.57
2018-08-07,413,420.6,420.6,413,6.12,2.04
2018-08-06,420.6,412.2,421.6,412.2,6.75,-1.81
2018-08-03,418.6,419.8,420,417,6.63,0.77
2018-08-02,430,416.6,430,414.6,5.5,-3.12
2018-08-01,430,430,431.8,425.6,7.92,0.56
2018-07-31,418,427.6,429.8,414,12.96,1.04
2018-07-30,409,423.2,423.2,409,8.44,3.02
2018-07-27,418,410.8,420.4,408.8,3.63,-1.25
2018-07-26,410,416,418,409,11.47,1.96
2018-07-25,406.4,408,410,404,8.56,1.09
2018-07-24,395.6,403.6,403.6,395.6,11.22,2.33
2018-07-23,403,394.4,403,394.4,4.65,-1.4
2018-07-20,397.2,400,400,393.8,8.68,0.81
2018-07-19,393.4,396.8,396.8,389,4.35,0.3
2018-07-18,399.6,395.6,403.6,394,2.55,-1.25
2018-07-17,396.4,400.6,401.6,394,4.24,1.73
2018-07-16,397.2,393.8,402.4,393.8,3.38,-1.55
2018-07-13,405.2,400,406.6,394.4,3.75,0.2
2018-07-12,400,399.2,404,399.2,3.92,-0.15
2018-07-11,401,399.8,404.4,398.4,5.72,-0.05
2018-07-10,397,400,407.6,397,8.81,-0.15
2018-07-09,401.8,400.6,404,397,2.43,-0.15
2018-07-06,402.4,401.2,404.8,397.6,8.45,-0.45
2018-07-05,406,403,409.8,402.4,2.79,-1.32
2018-07-04,401.2,408.4,410.2,401.2,2.14,1.69
2018-07-03,400.4,401.6,404.2,396,8.39,0.75
